;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q115;Do animals have 'souls' like humans do?;Yes;No;;;6871;O;;religion/superstition
q116;Is evil necessary in the world?;Yes;No;;;6462;O;;"religion/superstition; opinion"
q122;How much does physical attractiveness matter to you in a match?;A lot;A little;Not at all;;36797;O;;preference
q123;Would you strongly prefer to go out with someone of your own skin color / racial background?;Yes;No;;;53312;O;;preference
q124;Do you work out a lot?;Yes;No;;;26934;O;;descriptive
q125;Do you lift weights?;Yes;No;;;12988;O;;descriptive
q126;What kind of shape are you in?;Great;Average;Shitty;;26252;O;;descriptive
q127;Do you wear expensive designer clothes?;Yes;No;;;14566;O;;descriptive
q128;Do you have any tattoos?;I have 1 or more BIG tattoos;I have 1 or more LITTLE tattoos;I have no tattoos;;40450;O;;descriptive
q129;Do you have any 'extreme' piercings (this includes anything other than ears, nose, or navel)?;Yes;No;;;22019;O;;descriptive
q130;Do you look better dressed or naked?;Dressed;Naked;;;13263;O;;descriptive
q132;Can you run a mile without stopping?;Yes;No;Yes - And More;;22862;O;3, 1, 2;descriptive
q133;Are you physically strong?;Yes, very;Average;No, not really;;17136;O;;descriptive
q134;Do you think women have an obligation to keep their legs shaved?;Yes;No;;;40673;O;;preference
q135;All else the same, would you rather date someone rich or hot?;Rich;Hot;;;10348;O;;preference
q136;Would you get upset if your girlfriend/boyfriend flirted in front of you?;Yes;No;;;36168;O;;"sex/intimacy; preference; descriptive"
q137;Would you terminate a pregnancy if the baby was going to be mentally disabled?;Yes;No;It depends on the severity;;10702;O;1, 3, 2;"preference; descriptive"
q140;If you had to guess, do you think humans will go extinct in the next 1000 years?;Yes;No;;;11600;O;;preference
q141;Would you be happy raising the kids while your spouse worked?;Yes;No;;;20675;O;;preference
q142;Is it possible to love someone you don't even like?;Yes;No;;;22947;O;;"sex/intimacy; opinion"
q144;Would you ever sleep with a serial killer?;Yes;No;;;12199;O;;"sex/intimacy; preference"
q146;Choose the better romantic activity:;Kissing in Paris;Kissing in a tent, in the woods;;;39103;N;;"sex/intimacy; preference"
q148;Would you rather know everything about your mate, or be regularly surprised?;Surprised;All-knowing;;;18338;O;;preference
q149;Which makes for a better relationship?;Passion;Dedication;;;49355;N;;sex/intimacy
q152;If you had a one-night stand DURING a relationship, would you confess to your mate?;Yes;No;;;16792;O;;"sex/intimacy; descriptive"
q153;Pick the best date on this list:;A really nice restaurant;A really divey bar;A day at the beach;;28688;N;;"sex/intimacy; preference"
q154;In a certain light, wouldn't nuclear war be exciting?;Yes, it would.;No, it wouldn't.;;;50514;O;;opinion
q155;Would you ever seriously date someone twice your age?;Yes;No;;;26336;O;;preference
q156;Would you ever seriously date someone half your age?;Yes;No;;;13922;O;;preference
q157;Do you have your own web page?;Yes;No;;;8471;O;;descriptive
q158;Are you an aspiring actor/artist/writer or other creative type?;Yes;No;;;40052;O;;descriptive
q159;Do you know any programming languages?;Yes;No;;;9709;O;;descriptive
q160;Which is more appealing?;A life of leisure;A life of accomplishment;;;21160;O;;"preference; opinion"
q161;Would you rather have more money or more freedom?;More money;More freedom;;;21440;O;;"preference; opinion"
q163;If a poor 20 year-old woman marries a wealthy 40 year-old man, do you assume it's for the money?;Yes;No;;;13647;O;;descriptive
q164;Do you wear a suit to work (or female equivalent)?;Yes;No;;;10944;O;;descriptive
q165;Are you totally anti-war?;Yes;No;;;14938;O;;descriptive
q166;Politically, which way do you lean?;To the right (republican in the US);To the left (democrat in the US);To the middle / I don't know;;11714;O;1, 3, 2;politics
q167;Do you recycle?;Almost always;Sometimes;Rarely or not at all;;24586;O;;politics
q168;The life of one of your fellow citizens is more valuable than the lives of ten foreigners.;True;False;;;22138;O;;politics
q169;Should the death penalty be abolished?;Yes;No;;;16884;O;;politics
q170;Do you usually vote in presidential (or applicable) elections?;Yes;No;;;18395;O;;politics
q171;What's more important to you?;Your world;Your country;;;25571;O;;"politics; preference"
q172;Would you fight for your country in an unjust war?;Yes;No;;;11718;O;;"politics; preference"
q173;Let's say you don't agree with a law, one that won't change. Which is your responsibility?;Breaking it when it suits you;Obeying it until it changes;;;3532;O;;"politics; opinion"
q174;Communism, in concept:;Good;Bad;Same as capitalism;No idea / this question doesn't interest me;19406;N;;politics
q175;Should burning your country's flag be illegal?;Yes;No;;;45720;O;;politics
q177;Which better explains why most homeless people are homeless?;Sheer laziness;Impossible odds;;;1975;O;;"politics; opinion"
q178;Which is bigger?;The earth;The sun;;;46727;N;;cognitive
q179;Who's smarter on average?;Men;Women;Neither, they're the same on average;;23841;O;1, 3, 2;opinion
q180;Have you ever cheated on an exam?;Yes;No;;;15581;O;;descriptive
q182;Have you ever studied math BEYOND calculus?;Yes;No;;;12937;O;;"descriptive; cognitive"
q183;Are you smarter than all your friends?;Yes;No;;;12145;O;;"descriptive; cognitive"
q185;Are you really into Anime (Japanese Animation) movies?;Yes;No;;;23792;O;;descriptive
q186;If you got married, would you change your name?;Yes;No;;;24230;O;;"preference; descriptive"
q187;In high school, were you one of the 'cool' kids?;Yes;No;;;11263;O;;descriptive
q190;Do you keep a blog (online journal)?;Yes.;No.;;;8822;O;;descriptive
q191;Could you imagine yourself killing someone?;Yes;No;;;9150;O;;descriptive
q192;Do you believe in dinosaurs?;Yes;No;;;19833;O;;religion/superstition
q193;Do you say grace before meals?;Yes;No;;;23814;O;;religion/superstition
q196;Excluding childhood fights, have you ever punched someone in the face?;Yes;No;;;18128;O;;descriptive
q198;Do you think advanced primates, like chimps and apes, should be afforded some degree of 'human' rights?;Yes;No;;;2348;O;;"politics; opinion"
q199;Do you know the square root of 256 off the top of your head?;Yes;No;;;11673;O;;cognitive
q201;Suppose you're driving, and you hit an animal. You don't know how badly it's hurt. Do you:;stop and look;keep going;;;14113;N;;descriptive
q202;For a pet, would you prefer:;one from the pound;one from a champion breeder;;;13918;N;;preference
q204;Which would you rather lose:;the ability to reproduce;the ability to orgasm;;;13858;N;;"sex/intimacy; preference"
q205;Do you think bodily fluids are inherently gross?;Yes;No;;;19550;O;;"sex/intimacy; opinion"
q206;Have you ever cybered (had cybersex)?;Yes;No;;;19343;O;;sex/intimacy
q209;Will you teach your children to believe in Santa?;Yes;No;;;26138;O;;religion/superstition
q210;Do you believe in God?;Yes;No;;;35015;O;;religion/superstition
q211;Do you think reptiles are cool?;Yes;No;;;13540;O;;opinion
q212;Do you sleep with a stuffed animal?;Yes;No;;;13604;O;;descriptive
q213;Are some human lives worth more than others?;Yes;No;;;28215;O;;"politics; opinion"
q214;Overall, has capitalism made the world a better place?;Yes;No;;;21838;O;;"politics; opinion"
q215;Which would you rather master?;art;science;;;21672;N;;preference
q216;Star Trek: cool or uncool?;Cool;Uncool;;;21756;O;;opinion
q218;Should prostitution be legal?;Yes, absolutely;Yes, only if it were regulated;I don't think so;ABSOLUTELY NOT;25694;O;;"politics; religion/superstition"
q219;Gay marraige: should it be legal?;Yes;No;;;33413;O;;religion/superstition
q220;Do you like to watch sports on television?;Yes;No;;;28763;O;;preference
q222;Do you think taxes are justified?;Yes;No;;;5804;O;;politics
q223;Do you believe that wealth in America is fairly distributed?;Yes;No;;;1687;O;;politics
q224;If you could triple your money by investing in a company whose business practices you disapproved of, would you invest?;Yes;No;;;2936;O;;"preference; descriptive"
q225;Do you think Christians are persecuted in the U.S.?;Yes;No;;;2937;O;;"politics; religion/superstition"
q226;Which would you rather lose?;the right to bear arms;the right to vote;;;30519;N;;"politics; preference"
q227;Do you like sex toys?;Yes;No;;;9324;O;;sex/intimacy
q229;Do you think humans have enough respect for the Earth's other species?;Yes, too much;Yes, about right;No;;16960;O;;"politics; opinion"
q231;Cell phones: good or evil?;Good;Evil;;;16354;O;;"opinion; technology"
q234;Does fashion matter to you?;A lot;A little;Not at all;;26847;O;;preference
q241;Are your parents ugly???;Yes;No;;;6649;O;;"opinion; descriptive"
q242;Are your birth parents divorced?;Yes;No;They were never married!;;18343;N;;descriptive
q244;Do you listen to conservative talk radio?;Yes;No;;;17878;O;;"politics; preference"
q246;Which describes you better?;Confrontational;Non-confrontational;;;20854;O;;descriptive
q249;Could you do 25 pushups without stopping?;Yes;No;;;11451;O;;descriptive
q250;Do you like being in a car with someone else who's driving extremely fast?;Yes;No;;;19190;O;;preference
q252;Have you ever been arrested, even if just for a small crime or misdemeanor?;Yes;No;;;12456;O;;descriptive
q254;Have you ever skied, snowboarded, surfed, or wind-surfed?;Yes;No;;;11333;O;;descriptive
q255;STALE is to STEAL as 89475 is to...;89457;98547;89754;89547;45868;N;;cognitive
q256;When birds stand on power lines and don't get hurt, it's most likely because of:;Good timing, they only land between calls;Body materials that are insulated from current;Not touching anything else at the same time;They do get hurt, they just express it poorly;14406;N;;cognitive
q258;Did America really put a man on the moon?;Yes;No;;;17067;O;;politics
q262;Most claims of sexual harrassment in the workplace are LIES made up by a scorned woman.;True;False;I don't know;;6353;O;1, 3, 2;"politics; opinion"
q265;Who do you think was smartest on this list?;Einstein;Shakespeare;Mozart;Jesus;29398;N;;opinion
q266;Do you have a favorite sports team that you really like to follow?;Yes;No;;;21527;O;;descriptive
q267;If some men are doctors and some doctors are tall, does it follow that some men are tall?;Yes;No;;;25094;O;;cognitive
q268;Do you enjoy fantasy books or movies? (e.g. The Lord of the Rings);Yes;No;;;19242;O;;"preference; descriptive"
q271;Think quick!;3.14159;3.14195;3.14519;3.14591;2533;N;;cognitive
q273;Do you know how to drive a stick shift (manual transmission)?;Yes;No;;;16737;O;;descriptive
q274;What's the highest level of education you've completed?;Graduate School;College;High School;Junior High;31706;O;;descriptive
q275;Are you a virgin?;Yes;No;;;29250;O;;"sex/intimacy; descriptive"
q277;Would you rather live forever or die happy?;Live forever;Die happy;;;4580;O;;preference
q278;How good is your singing voice?;Really awesome, actually;Very good;Okay;Crappy;15965;O;;descriptive
q279;Based on its involvement in world affairs (past and present), do you think the United States deserves to get attacked by terrorists?;Yes;No;;;6092;O;;politics
q280;Do you like the taste of blood?;Yes;No;;;21771;O;;preference
q283;Would you give the police significantly more power, if it would lower crime rates?;Yes;No;;;3547;O;;"politics; preference"
q284;Would you cut off your own good hand, if you knew it would magically solve poverty in the world?;Yes;No;;;3897;O;;"politics; preference"
q286;Which are you MORE of?;Talented;Hardworking;;;14276;O;;descriptive
q288;What's a worse trait to have?;Greed;Laziness;;;14614;N;;opinion
q291;Would you prefer it if fashion models were the same size and bodytype as the average citizen?;Yes;No;;;13740;O;;"politics; preference"
q293;Overall, do you think men should act more like women, or women should act more like men?;Women need to learn to act like men.;Men need to learn to act like women.;No one should change.;The premise of this question angers me.;5623;M;1, 3, 2, [4];"politics; opinion"
q294;Which is more important for a good match?;Having similar political beliefs;Having good sex;;;26731;O;;"politics; preference; opinion; sex/intimacy"
q297;Would you like to date someone a lot purer than you?;Yes;No;;;2908;O;;preference
q298;If possible, would you prefer to date someone a lot more attractive than you, or about the same?;A lot more attractive;About the same;;;8356;O;;preference
q301;Are you annoyed by people who are super logical?;Yes;No;;;35878;O;;preference
q303;If you unscramble the letters in 'laity', what do you get?;A country;A mountain;A river;A planet;10001;N;;cognitive
q304;Do you hit the snooze button more than once on a typical morning?;Yes;No;;;17666;O;;descriptive
q305;Goth chicks?;Sexy;Lame;I don't know;;21558;O;1, 3, 2;"preference; opinion"
q307;Do you like wild parties?;Yes;No;;;27957;O;;preference
q308;If you like someone a lot, do you usually ask them out?;Yes;No;;;37597;O;;descriptive
q309;Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.);Yes;No;;;28425;O;;"sex/intimacy; descriptive"
q311;When you're around new people, are you more of a leader, or are you more cooperative?;More of a leader;More cooperative;;;12195;O;;descriptive
q312;Are you likely to make long, friendly conversation with strangers?;Yes;No;;;11938;O;;descriptive
q314;When fooling around with someone, do you sometimes have sexual fantasies about other people?;Yes;No;;;18481;O;;"sex/intimacy; descriptive"
q315;Would you donate one of your kidneys (assume  you have 2) to save a child you didn't know?;Yes;No;;;979;O;;descriptive
q316;Have you ever read Shakespeare, other than for a class?;Yes;No;;;12464;O;;descriptive
q318;How important is money/wealth for you in a match?;Very important;Somewhat important;Not important at all;;35375;O;;preference
q320;Do you tend to blow off your responsibilities?;Yes;No;;;13128;O;;descriptive
q321;Generally speaking, are you a worrier?;Yes;No;;;14765;O;;descriptive
q322;Do you try to draw attention to your body by wearing seductive clothing?;Yes;No;;;18597;O;;descriptive
q323;How confident are you in your sexual abilities?;Super confident;Confident;Not really confident;;31389;O;;"sex/intimacy; descriptive"
q324;Orgasms are clearly the most important part of sex.;I agree.;I disagree.;;;34643;O;;"sex/intimacy; opinion"
q325;Would you consider having an open relationship (i.e., one where you can see other people)?;Yes;No;;;54443;O;;"sex/intimacy; preference"
q326;Should your mate also become your best friend?;Yes;No;;;18189;O;;"sex/intimacy; preference"
q327;How does having sex with someone usually affect your emotional attachment to them?;I become more attached.;I become less attached.;I told you. I'm a virgin.;It stays about the same.;18631;M;2, 4, 1, [3];sex/intimacy
q328;If you saw someone shoplifting, would you turn them in?;Yes;No;;;2382;O;;descriptive
q332;Would you ever date someone who's had cosmetic surgery?;Yes;No;;;11651;O;;"descriptive; preference"
q333;Would you ever sleep with a porn star?;Yes;No;;;13960;O;;"sex/intimacy; preference"
q334;Do you usually wear cologne or perfume?;Yes;No;;;23846;O;;descriptive
q335;Do you (or would you) like to go hunting?;Yes;No;;;25464;O;;"preference; descriptive"
q337;Without using a dictionary or other tool, can you choose the commonly misspelled word? Don't cheat! It's okay if you don't know.;Separate;Definate;Committee;(Not sure / dumb question / who cares);21319;N;;cognitive
q338;How does your maturity level compare with most people your age?;I'm more mature;I'm average;I'm less mature;;29286;O;;descriptive
q339;Do you like reggae music a lot?;Yes;No;;;12467;O;;descriptive
q340;Do you think angry or pornographic music lyrics should be kept, by law, away from kids?;Yes;No;;;12407;O;;politics
q341;Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?;Yes;No;;;32473;O;;politics
q342;Do you like stand-up comedy?;Yes;No;;;11389;O;;preference
q344;Do most politicians really want to make the world a better place?;Yes;No;;;11304;O;;"politics; opinion"
q346;Have you performed any charity work in the last year? (We mean labor, not donating money);Yes;No;;;8600;O;;descriptive
q347;Would you, or did you, go to your 10-year high school reunion?;Yes;No, but I wanted to;No;;11553;O;;"preference; descriptive"
q348;Which do you like more? Be honest.;Giving massages;Receiving massages;;;21082;O;;"preference; descriptive"
q350;Do you have a really good relationship with both your parents?;Yes;No;;;10152;O;;descriptive
q351;Do you think you have ESP at all?;Yes;No;;;14687;O;;religion/superstition
q352;Would you rather date someone extremely hot or extremely honest?;Extremely hot;Extremely honest;;;20751;O;;preference
q354;Would you be comfortable being poor for the rest of your life?;Yes;No;;;26061;O;;"preference; opinion"
q356;Do you have any credit cards?;Yes;No;;;10543;O;;descriptive
q357;Which makes for a better first date?;Coffee and chit-chat;Drinks and groping;;;26341;N;;"sex/intimacy; preference; opinion"
q358;Do you know the first name of every person you've ever made out with?;Yes;No;;;24303;O;;sex/intimacy
q360;You are more romantic than most people you know.;True;False;;;15045;O;;"sex/intimacy; descriptive"
q365;How much would you enjoy hosting a big, crazy party?;A lot;Not that much;Not at all;;23047;O;;"preference; opinion"
q366;When you're not in a serious relationship, what do you prefer?;Dating multiple people at once;Dating one person at a time;I only have serious relationships, I don't 'date';;25073;O;;preference
q368;If someone wrongs you do you exact revenge?;Yes;No;;;4190;O;;descriptive
q369;Which would you rather drive?;A fast sports car;An SUV;Something more environmentally friendly;;11314;N;;"politics; preference"
q375;Do you like going to the movies alone?;Yes;No;;;18131;O;;preference
q376;Do you enjoy being photographed?;Yes;No;;;9965;O;;preference
q382;Is long hair on a guy inappropriate?;Yes;No;;;25262;O;;opinion
q383;Is it cool for guys to wear earrings?;Sure, it's fine;No way;;;20430;O;;opinion
q385;If you suffered minor injuries in a car accident, would you exaggerate the damage if you knew it could make you a LOT of money from an insurance company?;Yes;No;;;2127;O;;"preference; descriptive"
q386;If someone intentionally damaged your property, would you be more likely to call the police, or to fight them?;Call the police;Fight them;;;15344;O;;"politics; preference; descriptive"
q387;Do you typically send thank you cards to people, when they do you favors?;Yes;No;;;7229;O;;descriptive
q388;Is it easier to love or to hate?;Love;Hate;;;25471;O;;opinion
q389;Can most babysitters be trusted with children?;Yes;No;;;9033;O;;opinion
q391;Are you disgusted by the extremely obese?;Yes;No;;;13165;O;;"preference; descriptive"
q392;If someone you barely knew asked you how many people you'd had sex with, would you answer?;Yes;No;;;24741;O;;sex/intimacy
q393;Is there a such thing as having had too many sex partners?;Yes;No;;;34232;O;;sex/intimacy
q395;Is it okay for a girl to talk openly about her sexual exploits?;Yes;No;;;29264;O;;"sex/intimacy; preference"
q396;If you were in an extremely unhappy marriage, without children, would you get a divorce?;Yes;No;;;7148;O;;"sex/intimacy; preference"
q397;Is it okay for a guy to talk openly about his sexual exploits?;Yes;No;;;9559;O;;"sex/intimacy; preference"
q400;Would you cheat on your taxes, if you were absolutely 100% sure you could get away with it?;Yes;No;;;5155;O;;"preference; descriptive"
q401;Are you very close to your family?;Yes;No;;;16817;O;;descriptive
q402;Would you sign a prenup?;Yes;No;;;9118;O;;"politics; preference; descriptive"
q403;Do you enjoy discussing politics?;Yes;No;;;52369;O;;"politics; preference; descriptive"
q404;Do you read the news most days?;Yes;No;;;14268;O;;descriptive
q409;A 'shooting star' is a star that...;...burned out, and collapsed;...collided with Earth's atmosphere;...got sucked into a black hole;...isn't really a star;19435;N;;cognitive
q410;Have you ever been to a strip club?;Yes;No;;;19224;O;;descriptive
q411;Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?;Yes;No;Unsure;;33037;O;1, 3, 2;religion/superstition
q412;Is global warming a serious problem?;Yes;No;I don't know;;22818;O;1, 3, 2;"politics; opinion"
q413;Have you ever played Dungeons and Dragons?;Yes;No;;;19509;O;;descriptive
q416;Would you and your ideal match eventually feel comfortable farting around each other?;Yes;No;;;21963;O;;"sex/intimacy; preference"
q417;Have you ever blacked out from drunkenness?;Yes;No;;;19918;O;;descriptive
q418;If a woman burps out loud, that is...;Cool;Uncool;;;4833;O;;opinion
q420;Do you pee in the shower?;Yes;No;;;2973;O;;descriptive
q425;Do you have a nervous habit, like biting your nails?;Yes;No;;;9215;O;;descriptive
q426;Do you enjoy watching movies with subtitles?;Yes;No;;;21843;O;;"preference; descriptive"
q427;Do your parents have strong opinions about what kind of person you should marry?;Yes;No;;;13403;O;;descriptive
q428;Do you think people living in rural areas are more ignorant, on average, than city folks?;Yes;No;;;14933;O;;"politics; opinion"
q429;Do you think the media, in general, is too conservative, too liberal, or actually pretty impartial?;Too conservative;Too liberal;Impartial;;1857;O;1, 3, 2;"politics; opinion"
q434;Do you like loud concerts?;Yes;No;;;23610;O;;preference
q435;Did you ever study Latin, Ancient Greek, or any other dead language, for at least a year?;Yes;No;;;11793;O;;descriptive
q436;Does music have a big influence on your life?;Yes;No;;;19582;O;;descriptive
q437;Do you own or ride a motorcycle?;Yes;No;;;14597;O;;descriptive
q438;If you had children, would it upset you to discover they were dumb, but nice?;Yes;No;;;6143;O;;descriptive
q439;Are you annoying?;Yes;No;;;20456;O;;descriptive
q441;Do you make your bed most days?;Yes;No;;;22211;O;;descriptive
q442;If you don't do anything at all for an entire day, how does that make you feel?;Good;Bad;;;41784;O;;descriptive
q444;Do you think most people who are happy in relationships are just lying to themselves?;Yes;No;;;13496;O;;opinion
q445;Which typically comes first for you?;Work;Play;;;20701;O;;descriptive
q446;Do you think most people are lonely?;Yes;No;;;9454;O;;opinion
q447;Do you think most people tell at least one lie most days?;Yes;No;;;12563;O;;opinion
q451;Do you think the basic instinct to survive and reproduce fundamentally drives every decision a person makes?;Yes;No;;;15252;O;;"politics; religion/superstition; opinion"
q454;As an adult, have you ever been single for more than a year straight?;Yes;No;;;16366;O;;descriptive
q455;Would the world be a better place if people with low IQs were not allowed to reproduce?;Yes;No;;;35500;O;;politics
q457;Do most women look better with make-up on?;Yes;No;;;5903;O;;"preference; opinion"
q458;If a close friend doesn't call you for a week, do you start worrying that he hates you?;Yes;No;;;14685;O;;descriptive
q460;Is it wrong for two adopted siblings to date each other?;Yes;No;;;2473;O;;"politics; opinion; sex/intimacy"
q463;In your ideal sexual encounter, do you take control, or do they?;I take control;They take control;;;28517;O;;sex/intimacy
q465;If you dislike your food in a restaurant, do you typically send it back?;Yes;No;;;13757;O;;descriptive
q466;Can you tell the difference between very good wine and pretty good wine, just from the taste?;Yes;No;;;9622;O;;descriptive
q467;Do you imagine you're louder than average (for someone your gender) during sex?;Yes, I'm louder;No;;;22041;O;;sex/intimacy
q468;Do you like logic puzzles?;Yes;No;;;10793;O;;preference
q469;Do you like word games like Scrabble or Boggle?;Yes;No;;;12601;O;;preference
